iter	MultiClass
0	1.261032035
1	1.166084413
2	1.080643428
3	1.011680614
4	0.957011894
5	0.9106217536
6	0.8629665635
7	0.818760049
8	0.7854758323
9	0.7620739863
10	0.7335250791
11	0.7157756632
12	0.6977429152
13	0.6782309778
14	0.6622023342
15	0.6465578865
16	0.6352291612
17	0.6225863912
18	0.6122807254
19	0.6036560877
20	0.5962282427
21	0.5886402799
22	0.5831058161
23	0.5752647541
24	0.5695950737
25	0.5639487393
26	0.5596519411
27	0.5575447966
28	0.5531086348
29	0.5482045673
30	0.5448606957
31	0.5406961904
32	0.5382855699
33	0.5364996444
34	0.5339797707
35	0.5300133128
36	0.5277032921
37	0.5241474958
38	0.5211081624
39	0.519132123
40	0.5159351156
41	0.5128025085
42	0.5104326253
43	0.5062758039
44	0.5047050712
45	0.5030513385
46	0.5011528912
47	0.4991390907
48	0.4977022649
49	0.4969286107
50	0.4953031354
51	0.4933752299
52	0.4923508107
53	0.4914068874
54	0.4901077218
55	0.4881721242
56	0.487607833
57	0.486195406
58	0.4846513258
59	0.4830686903
60	0.4812108273
61	0.4807864333
62	0.4796295117
63	0.4771726304
64	0.4761284085
65	0.4757449827
66	0.4750466603
67	0.4735948837
68	0.4718868831
69	0.4708336136
70	0.4702614481
71	0.4682500985
72	0.4674267493
73	0.4669882807
74	0.4665846258
75	0.4654793151
76	0.4650487669
77	0.464284354
78	0.4638085101
79	0.4632843487
80	0.4621198061
81	0.4618817748
82	0.4602696467
83	0.4588818435
84	0.4571527596
85	0.456572058
86	0.4550985529
87	0.4542032566
88	0.4536131067
89	0.4511329657
90	0.4499829015
91	0.4488068046
92	0.4484196949
93	0.4468874134
94	0.4462385004
95	0.4453628697
96	0.4449414625
97	0.4445927454
98	0.4441833255
99	0.4436036084
100	0.4417433166
101	0.440988749
102	0.4390463446
103	0.438196264
104	0.4376946634
105	0.4370384147
106	0.4361165668
107	0.4356797833
108	0.4343134964
109	0.4340407855
110	0.4331403642
111	0.4319779325
112	0.4312088066
113	0.4308814655
114	0.4296220731
115	0.4293516693
116	0.4287231045
117	0.4271699218
118	0.426453951
119	0.4263608395
120	0.4257178627
121	0.425496147
122	0.4246734624
123	0.4243179838
124	0.4237579994
125	0.4233655598
126	0.4223770028
127	0.422031742
128	0.4218286766
129	0.4215882754
130	0.4211650457
131	0.4204164218
132	0.4193875477
133	0.4185361558
134	0.4183915718
135	0.418081948
136	0.4170704978
137	0.4162956851
138	0.4157922756
139	0.415148984
140	0.4150185682
141	0.4140806319
142	0.41373119
143	0.4134581079
144	0.4131180356
145	0.4124186942
146	0.4122625398
147	0.4110184335
148	0.4107314547
149	0.4104655054
150	0.4102384459
151	0.4098863164
152	0.4090439409
153	0.408518677
154	0.4081224181
155	0.4077618239
156	0.4075357135
157	0.4072332272
158	0.4064303105
159	0.4060720957
160	0.4057944783
161	0.405380874
162	0.4048504802
163	0.4044851343
164	0.4039790262
165	0.403734416
166	0.4035337316
167	0.4028727933
168	0.4024101532
169	0.4022650005
170	0.4019945373
171	0.40174844
172	0.4015185136
173	0.4008207328
174	0.4006226331
175	0.4001512476
176	0.3992000014
177	0.3989957236
178	0.3983805715
179	0.3981420864
180	0.3980896216
181	0.3976535013
182	0.3970814648
183	0.3968613256
184	0.3963508949
185	0.3957038451
186	0.395467217
187	0.395403943
188	0.3951612576
189	0.39452866
190	0.3943726287
191	0.3940333874
192	0.3936992504
193	0.3934456591
194	0.3933699592
195	0.3930916004
196	0.3929018622
197	0.3928105741
198	0.392556359
199	0.3923260494
200	0.3921076329
201	0.3920689299
202	0.3916111686
203	0.3913743878
204	0.3909853926
205	0.3908985384
206	0.3907912266
207	0.3901851231
208	0.3894560581
209	0.389219838
210	0.3891831972
211	0.3888821553
212	0.3883672397
213	0.3878136037
214	0.3875321715
215	0.3874705056
216	0.3870117288
217	0.3866729296
218	0.386516672
219	0.3862171189
220	0.3860087012
221	0.3857098617
222	0.3855769685
223	0.3850434493
224	0.3847201099
225	0.3846602083
226	0.3845869417
227	0.3844886576
228	0.3844280646
229	0.3842903344
230	0.3836594366
231	0.3833086105
232	0.3830000489
233	0.3821437665
234	0.3817735517
235	0.3813381919
236	0.3813105936
237	0.3811026879
238	0.3809673862
239	0.3808670383
240	0.3805159177
241	0.3800441961
242	0.379964939
243	0.3799389552
244	0.3799235044
245	0.3796868203
246	0.3794187166
247	0.3793274863
248	0.3789270087
249	0.3787270891
250	0.3785128809
251	0.3784353785
252	0.3779881485
253	0.3777892267
254	0.3775063637
255	0.3766797843
256	0.3765329751
257	0.3762180029
258	0.375744024
259	0.3755388505
260	0.3750115113
261	0.3747726091
262	0.3745339176
263	0.3744512668
264	0.3741129342
265	0.3737644147
266	0.373513417
267	0.3731800418
268	0.3727788665
269	0.3726837149
270	0.3720264131
271	0.3718311104
272	0.3716666367
273	0.3711505636
274	0.3709359246
275	0.3708179125
276	0.3705734833
277	0.3702658273
278	0.3697497062
279	0.3696524068
280	0.3695117272
281	0.3692239063
282	0.3690372788
283	0.3688033812
284	0.368771483
285	0.3687327724
286	0.3686863777
287	0.368422244
288	0.3681326814
289	0.368026599
290	0.367772041
291	0.3672907327
292	0.3672300224
293	0.3671232536
294	0.3668364932
295	0.3665621108
296	0.3662970097
297	0.366129495
298	0.3658861622
299	0.3657978096
300	0.3657188786
301	0.3653990329
302	0.365333631
303	0.3650203369
304	0.3648975844
305	0.3645549177
306	0.3641525733
307	0.3640072321
308	0.363434941
309	0.3629640292
310	0.3627546741
311	0.3625788279
312	0.3624886123
313	0.3617728124
314	0.3617225156
315	0.3612816943
316	0.3610826593
317	0.3608622008
318	0.3604936899
319	0.360377472
320	0.3602997544
321	0.360158857
322	0.360081431
323	0.3598296781
324	0.3595424188
325	0.3593121175
