iter	Passed	Remaining
0	62	62151
1	135	67851
2	205	68380
3	281	70212
4	358	71440
5	439	72815
6	483	68537
7	551	68415
8	621	68454
9	685	67855
10	753	67763
11	823	67804
12	888	67480
13	951	67026
14	1016	66741
15	1083	66657
16	1138	65845
17	1202	65610
18	1267	65428
19	1331	65223
20	1416	66014
21	1500	66717
22	1547	65716
23	1621	65942
24	1688	65844
25	1755	65771
26	1820	65610
27	1855	64410
28	1918	64231
29	1993	64444
30	2074	64858
31	2141	64766
32	2191	64231
33	2263	64316
34	2347	64718
35	2414	64645
36	2484	64662
37	2553	64642
38	2620	64566
39	2693	64652
40	2773	64877
41	2848	64964
42	2925	65108
43	3001	65222
44	3067	65099
45	3139	65112
46	3206	65022
47	3285	65159
48	3359	65208
49	3430	65181
50	3532	65740
51	3600	65643
52	3673	65638
53	3742	65569
54	3817	65591
55	3898	65713
56	3973	65732
57	4051	65796
58	4124	65785
59	4194	65710
60	4271	65748
61	4344	65724
62	4415	65673
63	4495	65747
64	4562	65623
65	4631	65545
66	4694	65379
67	4764	65307
68	4832	65205
69	4903	65143
70	4972	65067
71	5044	65017
72	5112	64919
73	5178	64796
74	5249	64745
75	5312	64586
76	5378	64475
77	5445	64365
78	5514	64293
79	5582	64197
80	5646	64063
81	5712	63952
82	5780	63860
83	5846	63751
84	5917	63702
85	5988	63642
86	6061	63609
87	6127	63498
88	6195	63419
89	6265	63346
90	6331	63247
91	6396	63129
92	6469	63092
93	6538	63018
94	6603	62909
95	6673	62844
96	6736	62709
97	6808	62668
98	6873	62559
99	6939	62454
100	7011	62411
101	7076	62304
102	7146	62234
103	7215	62163
104	7286	62105
105	7347	61968
106	7418	61914
107	7479	61776
108	7552	61740
109	7620	61657
110	7685	61553
111	7757	61507
112	7823	61409
113	7884	61278
114	7959	61251
115	8027	61178
116	8097	61112
117	8164	61027
118	8235	60967
119	8296	60837
120	8360	60736
121	8431	60676
122	8498	60596
123	8568	60530
124	8631	60421
125	8699	60343
126	8772	60303
127	8840	60224
128	8904	60120
129	8971	60038
130	9045	60004
131	9110	59910
132	9181	59854
133	9250	59781
134	9316	59696
135	9378	59580
136	9448	59520
137	9521	59475
138	9588	59393
139	9657	59323
140	9722	59231
141	9791	59159
142	9854	59056
143	9921	58980
144	9993	58929
145	10060	58848
146	10124	58750
147	10190	58663
148	10259	58596
149	10328	58529
150	10393	58438
151	10473	58429
152	10539	58347
153	10614	58308
154	10679	58219
155	10745	58137
156	10812	58059
157	10877	57969
158	10953	57936
159	11020	57857
160	11089	57788
161	11154	57700
162	11233	57681
163	11301	57609
164	11372	57552
165	11442	57490
166	11516	57443
167	11582	57360
168	11644	57260
169	11715	57198
170	11777	57094
171	11844	57018
172	11911	56941
173	11992	56927
174	12071	56908
175	12146	56869
176	12220	56820
177	12287	56743
178	12355	56671
179	12460	56763
180	12535	56723
181	12605	56653
182	12677	56598
183	12744	56521
184	12813	56450
185	12884	56384
186	12958	56338
187	13030	56280
188	13094	56190
189	13166	56130
190	13236	56064
191	13306	55999
192	13372	55915
193	13452	55891
194	13522	55824
195	13594	55764
196	13657	55668
197	13728	55605
198	13799	55542
199	13862	55449
200	13930	55376
201	14001	55312
202	14069	55239
203	14135	55156
204	14212	55115
205	14281	55047
206	14349	54970
207	14417	54897
208	14494	54855
209	14562	54783
210	14624	54687
211	14693	54616
212	14760	54537
213	14827	54461
214	14893	54377
215	14956	54286
216	15027	54223
217	15090	54132
218	15157	54055
219	15232	54005
220	15296	53917
221	15366	53853
222	15441	53801
223	15512	53739
224	15579	53661
225	15645	53582
226	15706	53484
227	15771	53401
228	15839	53329
229	15905	53249
230	15989	53227
231	16066	53186
232	16141	53135
233	16216	53086
234	16301	53066
235	16381	53032
236	16464	53005
237	16544	52969
238	16613	52899
239	16688	52845
240	16755	52768
241	16824	52697
242	16894	52631
243	16959	52545
244	17046	52531
245	17118	52469
246	17183	52385
247	17254	52320
248	17326	52259
249	17391	52174
250	17467	52122
251	17533	52044
252	17604	51977
253	17668	51892
254	17735	51815
255	17803	51741
256	17867	51654
257	17950	51624
258	18044	51624
259	18112	51551
260	18180	51476
261	18254	51419
262	18318	51334
263	18384	51254
264	18458	51195
265	18527	51124
266	18601	51066
267	18662	50973
268	18731	50900
269	18797	50823
270	18868	50757
271	18938	50688
272	19005	50612
273	19073	50537
274	19140	50461
275	19212	50398
276	19279	50322
277	19346	50246
278	19415	50172
279	19485	50106
280	19553	50031
281	19619	49953
282	19684	49871
283	19749	49792
284	19817	49718
285	19881	49633
286	19957	49581
287	20026	49509
288	20092	49431
289	20161	49362
290	20230	49290
291	20310	49245
292	20372	49159
293	20447	49102
294	20511	49019
295	20585	48960
296	20651	48881
297	20714	48796
298	20786	48732
299	20851	48652
300	20927	48599
301	20990	48514
302	21061	48447
303	21124	48363
304	21193	48292
305	21266	48231
306	21331	48152
307	21399	48080
308	21471	48016
309	21542	47949
310	21604	47863
311	21669	47783
312	21735	47706
313	21803	47635
314	21869	47557
315	21941	47494
316	22016	47437
317	22079	47353
318	22149	47285
319	22215	47207
320	22285	47140
321	22351	47062
322	22419	46990
323	22491	46925
324	22564	46864
325	22632	46791
326	22696	46712
327	22771	46654
328	22835	46573
329	22906	46508
330	22974	46433
331	23040	46358
332	23105	46280
333	23170	46201
334	23245	46144
335	23310	46066
336	23382	46002
337	23456	45942
338	23529	45879
339	23598	45807
340	23663	45731
341	23731	45658
342	23803	45594
343	23875	45529
344	23942	45456
345	24016	45395
346	24077	45309
347	24142	45231
348	24207	45155
349	24272	45077
350	24344	45012
351	24413	44942
352	24486	44879
353	24551	44803
354	24617	44727
355	24685	44656
356	24756	44589
357	24822	44513
358	24891	44443
359	24966	44384
360	25035	44315
361	25106	44248
362	25171	44172
363	25244	44108
364	25315	44042
365	25383	43970
366	25457	43908
367	25523	43834
368	25599	43775
369	25662	43695
370	25748	43654
371	25824	43596
372	25893	43525
373	25962	43456
374	26033	43389
375	26098	43311
376	26160	43230
377	26231	43164
378	26294	43084
379	26362	43011
380	26437	42951
381	26511	42890
382	26584	42827
383	26664	42774
384	26749	42729
385	26827	42673
386	26912	42628
387	26988	42568
388	27060	42504
389	27139	42448
390	27219	42395
391	27295	42336
392	27363	42264
393	27440	42206
394	27521	42153
395	27607	42109
396	27680	42044
397	27749	41972
398	27810	41889
399	27879	41818
400	27950	41751
401	28023	41687
402	28101	41629
403	28179	41572
404	28256	41513
405	28321	41435
406	28394	41370
407	28474	41316
408	28554	41260
409	28627	41195
410	28703	41134
411	28775	41067
412	28860	41020
413	28939	40963
414	29021	40910
415	29096	40847
416	29175	40789
417	29257	40736
418	29334	40676
419	29427	40638
420	29509	40584
421	29583	40519
422	29672	40475
423	29756	40424
424	29834	40363
425	29917	40310
426	30001	40259
427	30068	40185
428	30144	40122
429	30219	40058
430	30303	40005
431	30377	39940
432	30464	39892
433	30538	39826
434	30619	39769
435	30693	39704
436	30767	39638
437	30847	39580
438	30925	39520
439	31001	39456
440	31070	39384
441	31135	39307
442	31225	39260
443	31300	39196
444	31375	39130
445	31458	39076
446	31534	39012
447	31610	38948
448	31689	38888
449	31757	38814
450	31833	38751
451	31920	38699
452	31997	38637
453	32073	38572
454	32151	38511
455	32222	38440
456	32295	38372
457	32363	38298
458	32432	38227
459	32503	38155
460	32569	38080
461	32645	38015
462	32714	37943
463	32792	37880
464	32859	37806
465	32930	37735
466	32996	37659
467	33062	37583
468	33129	37509
469	33197	37435
470	33267	37364
471	33331	37286
472	33408	37222
473	33474	37146
474	33542	37073
475	33608	36998
476	33672	36920
477	33746	36852
478	33807	36771
479	33878	36701
480	33954	36636
481	34026	36567
482	34096	36496
483	34165	36424
484	34237	36355
485	34303	36279
486	34375	36211
487	34457	36152
488	34530	36083
489	34599	36012
490	34670	35941
491	34739	35869
492	34811	35799
493	34874	35722
494	34960	35667
495	35042	35607
496	35109	35533
497	35188	35471
498	35256	35397
499	35332	35332
500	35404	35262
501	35470	35188
502	35539	35115
503	35621	35056
504	35700	34993
505	35770	34922
506	35850	34860
507	35926	34794
508	36002	34729
509	36069	34655
510	36141	34585
511	36217	34519
512	36291	34452
513	36359	34378
514	36433	34311
515	36503	34240
516	36571	34166
517	36650	34103
518	36719	34031
519	36786	33957
520	36855	33884
521	36931	33818
522	36996	33742
523	37062	33667
524	37127	33591
525	37196	33518
526	37271	33452
527	37341	33380
528	37425	33322
529	37494	33249
530	37569	33182
531	37636	33108
532	37705	33036
533	37781	32970
534	37852	32900
535	37930	32835
536	38009	32772
537	38080	32700
538	38148	32628
539	38232	32568
540	38297	32492
541	38364	32418
542	38436	32349
543	38506	32277
544	38582	32211
545	38655	32141
546	38720	32066
547	38790	31994
548	38858	31922
549	38926	31849
550	38997	31778
551	39062	31702
552	39130	31630
553	39203	31560
554	39267	31484
555	39336	31412
556	39412	31346
557	39492	31282
558	39557	31207
559	39625	31134
560	39688	31057
561	39763	30989
562	39831	30917
563	39907	30850
564	39969	30773
565	40040	30702
566	40108	30629
567	40172	30553
568	40248	30487
569	40317	30414
570	40384	30341
571	40454	30269
572	40527	30201
573	40597	30130
574	40661	30054
575	40730	29981
576	40798	29909
577	40898	29860
578	40961	29783
579	41031	29712
580	41095	29636
581	41164	29564
582	41230	29490
583	41305	29422
584	41379	29354
585	41447	29282
586	41510	29205
587	41586	29138
588	41657	29068
589	41721	28992
590	41787	28919
591	41868	28855
592	41964	28801
593	42038	28733
594	42109	28663
595	42175	28588
596	42249	28519
597	42317	28447
598	42397	28383
599	42476	28317
600	42546	28246
601	42620	28177
602	42689	28105
603	42769	28040
604	42841	27970
605	42925	27908
606	43006	27844
607	43090	27782
