FarmID,category,Crop,State,District,Sub-District,SDate,HDate,CropCoveredArea,CHeight,CNext,CLast,CTransp,IrriType,IrriSource,IrriCount,WaterCov,ExpYield,Season,geometry,tif_path
1326576,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-25 0:00:00,2024-04-14 0:00:00,97,54,Pea,Lentil,Transplanting,Flood,Groundwater,4,87,17,Rabi,"POLYGON ((78.18079255482755 17.978971746424413, 78.18109649609544 17.979480756499623, 78.18240014779886 17.978876535906757, 78.18194606686842 17.97819175256819, 78.18079255482755 17.978971746424413))",downloads/20240412T050649_20240412T051727_T43QHV_RGB_2023-11-25_2024-04-14.tif
1326577,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-13 0:00:00,2024-04-26 0:00:00,82,58,Pea,Lentil,Transplanting,Flood,Canal,5,94,15,Rabi,"POLYGON ((78.17483419891283 17.981508840879556, 78.17648573519998 17.981358701217076, 78.17629165222166 17.98043222964137, 78.17480490336892 17.980527440159026, 78.17484152279883 17.980860676970842, 78.17483419891283 17.981508840879556))",downloads/20240425T051649_20240425T052817_T43QHV_RGB_2023-11-13_2024-04-26.tif
1326578,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-12-19 0:00:00,2024-04-28 0:00:00,92,91,Pea,Lentil,Transplanting,Flood,Canal,3,99,20,Rabi,"POLYGON ((78.16888476438905 17.976727511659835, 78.16967940601721 17.976606667541265, 78.16957687161363 17.975500760759186, 78.16871265306865 17.9755263943601, 78.16888476438905 17.976727511659835))",downloads/20240427T050651_20240427T051439_T43QHV_RGB_2023-12-19_2024-04-28.tif
1331836,Diseased,Paddy,Telangana,Medak,Kulcharam,2023-02-11 0:00:00,2024-11-04 0:00:00,91,52,Pea,Lentil,Transplanting,Flood,Canal,5,92,16,Rabi,"POLYGON ((78.16821795882959 17.974690113471414, 78.16955090607692 17.97522109520454, 78.16992808620455 17.97447039689219, 78.16849992843963 17.973968710702977, 78.16821795882959 17.974690113471414))",downloads/20241103T050951_20241103T052004_T43QHV_RGB_2023-02-11_2024-11-04.tif
1326579,Diseased,Paddy,Telangana,Medak,Kulcharam,2023-12-12 0:00:00,2024-05-19 0:00:00,94,55,Pea,Lentil,Transplanting,Flood,Canal,5,97,20,Rabi,"POLYGON ((78.17244459940454 17.969620948965225, 78.17302684833948 17.96963925868016, 78.17301586251048 17.968994756714444, 78.17285839896208 17.968632224358736, 78.17231643139998 17.968764054306263, 78.17244459940454 17.969620948965225))",downloads/20240517T050651_20240517T051655_T43QHV_RGB_2023-12-12_2024-05-19.tif
1326580,Pests,Paddy,Telangana,Medak,Kulcharam,2023-12-13 0:00:00,2024-05-18 0:00:00,97,51,Pea,Lentil,Transplanting,Flood,Groundwater,5,85,15,Rabi,"POLYGON ((78.1724525578161 17.963723786594127, 78.17373057591854 17.963610266361535, 78.17375987146245 17.9620136592192, 78.17354015488323 17.96174267543815, 78.17339367716374 17.96184887178478, 78.17254410639076 17.961900138986607, 78.17254410639076 17.962456754320627, 78.1724525578161 17.963723786594127))",downloads/20240517T050651_20240517T051655_T43QHV_RGB_2023-12-13_2024-05-18.tif
1326581,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-20 0:00:00,2024-05-30 0:00:00,84,68,Lentil,Pea,Transplanting,Flood,Canal,3,90,15,Rabi,"POLYGON ((78.17634002033525 17.959706202206874, 78.17691494538425 17.959632963347133, 78.17683804458152 17.95861494319675, 78.1762667814755 17.95869916788545, 78.17632903450632 17.959318036250252, 78.17634002033525 17.959706202206874))",downloads/20240527T050651_20240527T051452_T43QHV_RGB_2023-11-20_2024-05-30.tif
988392,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-12-14 0:00:00,2024-04-04 0:00:00,86,72,Pea,Lentil,Transplanting,Flood,Canal,3,91,15,Rabi,"POLYGON ((78.17837174884255 17.958123393849128, 78.17938244510701 17.958339448485354, 78.17946666979567 17.957585088230044, 78.17851090267611 17.957394667194713, 78.17837174884255 17.958123393849128))",downloads/20240402T050649_20240402T051718_T43QHV_RGB_2023-12-14_2024-04-04.tif
718074,Diseased,Paddy,Telangana,Medak,Kulcharam,2023-10-12 0:00:00,2024-10-05 0:00:00,90,78,Pea,Lentil,Transplanting,Flood,Canal,3,86,18,Rabi,"POLYGON ((78.1805134159095 17.95175791057415, 78.18167974475087 17.952049035041615, 78.18178777206901 17.95143749056279, 78.1806708794579 17.951184816496674, 78.1805134159095 17.95175791057415))",downloads/20241004T050651_20241004T052234_T43QHV_RGB_2023-10-12_2024-10-05.tif
214818,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-10-12 0:00:00,2024-04-22 0:00:00,90,53,Lentil,Pea,Transplanting,Flood,Groundwater,5,90,19,Rabi,"POLYGON ((78.18042227282632 17.94660703123191, 78.18134142051605 17.946511820714235, 78.18134874440204 17.945907600121387, 78.1804003011684 17.946043092011912, 78.18042227282632 17.94660703123191))",downloads/20240420T051651_20240420T052641_T43QHV_RGB_2023-10-12_2024-04-22.tif
235657,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-02-12 0:00:00,2024-05-29 0:00:00,94,56,Lentil,Pea,Transplanting,Flood,Canal,4,91,17,Rabi,"POLYGON ((78.17838216349466 17.94195526324993, 78.17907243974774 17.94215483914272, 78.17942215530296 17.941195410080123, 78.17881610373854 17.940950059899986, 78.17838216349466 17.94195526324993))",downloads/20240527T050651_20240527T051452_T43QHV_RGB_2023-02-12_2024-05-29.tif
861614,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-06-12 0:00:00,2024-04-15 0:00:00,89,59,Lentil,Pea,Transplanting,Flood,Canal,3,94,18,Rabi,"POLYGON ((78.17573364671789 17.933798082669647, 78.17667842800853 17.9331902001338, 78.1760925171306 17.93193049174626, 78.17506717309422 17.932567669826, 78.17573364671789 17.933798082669647))",downloads/20240412T050649_20240412T051727_T43QHV_RGB_2023-06-12_2024-04-15.tif
470755,Diseased,Paddy,Telangana,Medak,Kowdipally,2023-12-28 0:00:00,2024-05-14 0:00:00,94,72,Pea,Lentil,Transplanting,Flood,Groundwater,6,85,18,Rabi,"POLYGON ((78.14876453624315 17.91193656049237, 78.1489915767083 17.912430922795608, 78.14983016165236 17.91206472849692, 78.14950791066948 17.911533746763794, 78.14876453624315 17.91193656049237))",downloads/20240512T050649_20240512T051901_T43QHV_RGB_2023-12-28_2024-05-14.tif
618347,Diseased,Paddy,Telangana,Medak,Chilipched,2023-09-11 0:00:00,2024-05-13 0:00:00,92,51,Lentil,Pea,Transplanting,Flood,Groundwater,5,85,19,Rabi,"POLYGON ((78.11373623936731 17.891614297528392, 78.11440637493398 17.89150443923878, 78.11436243161808 17.89059627737799, 78.11368131022249 17.890687825952668, 78.11373623936731 17.891614297528392))",downloads/20240512T050649_20240512T051901_T43QHV_RGB_2023-09-11_2024-05-13.tif
888798,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-24 0:00:00,2024-01-04 0:00:00,93,75,Lentil,Pea,Transplanting,Flood,Canal,6,86,18,Rabi,"POLYGON ((78.11801634755112 17.85510175359751, 78.11971182715409 17.854797812329586, 78.11964225023735 17.853984860986472, 78.1189977482716 17.85418992979374, 78.11792113703346 17.85435837917114, 78.11801634755112 17.85510175359751))",downloads/20240103T051219_20240103T052207_T43QHV_RGB_2023-12-24_2024-01-04.tif
410620,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-20 0:00:00,2024-04-28 0:00:00,96,62,Lentil,Pea,Transplanting,Flood,Groundwater,4,91,15,Rabi,"POLYGON ((78.14993925921523 17.81413345583019, 78.15184713151143 17.814008949768624, 78.15182149791052 17.813412053061754, 78.14990263978532 17.813694022671744, 78.14993925921523 17.81413345583019))",downloads/20240427T050651_20240427T051439_T43QHV_RGB_2023-12-20_2024-04-28.tif
480934,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-18 0:00:00,2024-04-20 0:00:00,92,64,Lentil,Pea,Transplanting,Flood,Canal,6,92,15,Rabi,"POLYGON ((78.15466060631105 17.81261983897962, 78.15537834713648 17.812374488799485, 78.15529046050482 17.81057281284988, 78.15451779053457 17.810748586113256, 78.1543603269861 17.811616466601176, 78.15445919944675 17.812092519189495, 78.15466060631105 17.81261983897962))",downloads/20240417T050651_20240417T051251_T43QHV_RGB_2023-12-18_2024-04-20.tif
605358,Healthy,Paddy,Telangana,Medak,Narsapur,2023-12-11 0:00:00,2024-04-19 0:00:00,89,99,Pea,Lentil,Transplanting,Flood,Canal,6,82,20,Rabi,"POLYGON ((78.16452653172189 17.819928011970294, 78.16529553974921 17.820008574715995, 78.16531751140712 17.819056469539376, 78.16466202361245 17.819027173995483, 78.16452653172189 17.819928011970294))",downloads/20240417T050651_20240417T051251_T43QHV_RGB_2023-12-11_2024-04-19.tif
408127,Healthy,Paddy,Telangana,Medak,Chilipched,2023-01-11 0:00:00,2024-05-20 0:00:00,80,94,Lentil,Pea,Transplanting,Flood,Canal,5,95,16,Rabi,"POLYGON ((78.16727516710122 17.820692752187856, 78.16783910632117 17.820897820995125, 78.16827853947962 17.820026278564224, 78.16768896665876 17.819857829186827, 78.16727516710122 17.820692752187856))",downloads/20240517T050651_20240517T051655_T43QHV_RGB_2023-01-11_2024-05-20.tif
1326594,Healthy,Paddy,Telangana,Medak,Chilipched,2023-12-23 0:00:00,2024-05-24 0:00:00,80,50,Pea,Lentil,Transplanting,Flood,Canal,4,80,18,Rabi,"POLYGON ((78.17084352584644 17.822328462491424, 78.17156859055785 17.82229550500455, 78.17152830918502 17.82147889171844, 78.1707666250437 17.821486215604416, 78.17084352584644 17.822328462491424))",downloads/20240522T050649_20240522T051545_T43QHV_RGB_2023-12-23_2024-05-24.tif
479848,Stressed,Paddy,Telangana,Medak,Chilipched,2023-11-11 0:00:00,2024-06-04 0:00:00,94,61,Lentil,Pea,Transplanting,Flood,Canal,5,82,16,Rabi,"POLYGON ((78.17078110715005 17.829116800950768, 78.1715501151773 17.829237645069338, 78.17157208683521 17.828662720020382, 78.17152081963339 17.828391736239332, 78.17089096543963 17.828336807094527, 78.17078110715005 17.829116800950768))",downloads/20240601T050649_20240601T051727_T43QHV_RGB_2023-11-11_2024-06-04.tif
703710,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-11 0:00:00,2024-07-05 0:00:00,95,84,Lentil,Pea,Transplanting,Flood,Groundwater,3,94,17,Rabi,"POLYGON ((78.16889137081174 17.8382661644774, 78.16999727759385 17.8379512373805, 78.16990572901919 17.83721152489713, 78.16978122295762 17.83692589334414, 78.16942601448784 17.836980822488947, 78.16866066840359 17.8371639196383, 78.16875587892125 17.8377864499461, 78.16889137081174 17.8382661644774))",downloads/20240704T051659_20240704T053003_T43QHV_RGB_2023-11-11_2024-07-05.tif
909508,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-01-11 0:00:00,2024-05-19 0:00:00,91,60,Pea,Lentil,Transplanting,Flood,Canal,4,86,15,Rabi,"POLYGON ((78.18131945642436 17.849081675873002, 78.1819291699317 17.848964493697412, 78.18181381872763 17.84854153928242, 78.1814036811131 17.848627594942617, 78.18118579550537 17.84870266477384, 78.18131945642436 17.849081675873002))",downloads/20240517T050651_20240517T051655_T43QHV_RGB_2023-01-11_2024-05-19.tif
1326598,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-10-12 0:00:00,2024-04-23 0:00:00,85,87,Lentil,Pea,Transplanting,Flood,Canal,5,96,20,Rabi,"POLYGON ((78.18098011956192 17.857525925699694, 78.18205856177163 17.85722564637475, 78.18172532495983 17.856301005770508, 78.18123462459955 17.856511567492273, 78.18065420663612 17.856703819499085, 78.18091054264518 17.857205505688334, 78.18098011956192 17.857525925699694))",downloads/20240422T050649_20240422T051633_T43QHV_RGB_2023-10-12_2024-04-23.tif
519505,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-04-12 0:00:00,2024-05-28 0:00:00,85,84,Lentil,Pea,Transplanting,Flood,Groundwater,6,81,17,Rabi,"POLYGON ((78.17621237944591 17.86565014900927, 78.17714434393613 17.86545240408796, 78.17698688038773 17.864710860633107, 78.17600914161018 17.86485733835259, 78.17621237944591 17.86565014900927))",downloads/20240527T050651_20240527T051452_T43QHV_RGB_2023-04-12_2024-05-28.tif
427410,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-02-11 0:00:00,2024-05-30 0:00:00,91,77,Pea,Lentil,Transplanting,Flood,Canal,5,89,20,Rabi,"POLYGON ((78.20575376057592 17.88202484984645, 78.20703910256435 17.88188935795594, 78.2069402301037 17.88047584796296, 78.20584897109357 17.880563734594638, 78.20575009863292 17.881365700108795, 78.20575376057592 17.88202484984645))",downloads/20240527T050651_20240527T051452_T43QHV_RGB_2023-02-11_2024-05-30.tif
441472,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-02-12 0:00:00,2024-04-16 0:00:00,94,65,Pea,Lentil,Transplanting,Flood,Groundwater,4,97,19,Rabi,"POLYGON ((78.2224528936554 17.892926294045687, 78.22322922556864 17.892935448903163, 78.22340682980354 17.892461227286343, 78.22248402017081 17.892452072428867, 78.2224528936554 17.892926294045687))",downloads/20240412T050649_20240412T051727_T43QHV_RGB_2023-02-12_2024-04-16.tif
649824,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-21 0:00:00,2024-04-24 0:00:00,83,68,Lentil,Pea,Transplanting,Flood,Canal,4,100,15,Rabi,"POLYGON ((78.22685309077862 17.89767062638929, 78.22747562108631 17.89778963953636, 78.22794068784567 17.89762485210194, 78.22766054920727 17.89668190178278, 78.22664436002832 17.896852182131678, 78.22678168289038 17.89731724889104, 78.22685309077862 17.89767062638929))",downloads/20240422T050649_20240422T051633_T43QHV_RGB_2023-11-21_2024-04-24.tif
396007,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-11-20 0:00:00,2024-05-20 0:00:00,83,86,Pea,Lentil,Transplanting,Flood,Canal,6,98,17,Rabi,"POLYGON ((78.22913845806707 17.900997527043373, 78.23033225148085 17.900821753779997, 78.23028464622202 17.900122322669475, 78.2290176139485 17.90013330849845, 78.22913845806707 17.900997527043373))",downloads/20240517T050651_20240517T051655_T43QHV_RGB_2023-11-20_2024-05-20.tif
144754,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-12-27 0:00:00,2024-05-22 0:00:00,81,91,Pea,Lentil,Transplanting,Flood,Groundwater,3,85,19,Rabi,"POLYGON ((78.23133478127056 17.905737421665265, 78.2322942103332 17.9052760168489, 78.23186210106074 17.903759972452267, 78.2307049270768 17.90406025177721, 78.23133478127056 17.905737421665265))",downloads/20240517T050651_20240517T051655_T43QHV_RGB_2023-12-27_2024-05-22.tif
546854,Healthy,Paddy,Telangana,Medak,Kowdipally,2023-09-12 0:00:00,2024-04-30 0:00:00,91,70,Pea,Lentil,Transplanting,Flood,Canal,3,91,17,Rabi,"POLYGON ((78.23628777749626 17.90599641678023, 78.23638664995691 17.906285710276197, 78.23666861956696 17.90666655234684, 78.23696157500585 17.90709866161931, 78.23713368632625 17.907391617058277, 78.23785875103766 17.90719021019399, 78.23778551217792 17.906564017943225, 78.23767565388835 17.905820643516854, 78.23628777749626 17.90599641678023))",downloads/20240427T050651_20240427T051439_T43QHV_RGB_2023-09-12_2024-04-30.tif
39538,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-03-12 0:00:00,2024-05-26 0:00:00,86,57,Lentil,Pea,Transplanting,Flood,Groundwater,3,85,20,Rabi,"POLYGON ((78.24937775012644 17.94083053039086, 78.25029689781617 17.94055588466683, 78.25000028043421 17.93976124303865, 78.24955718533283 17.939944340188003, 78.24901521777073 17.940101803736443, 78.24937775012644 17.94083053039086))",downloads/20240522T050649_20240522T051545_T43QHV_RGB_2023-03-12_2024-05-26.tif
223527,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-12-27 0:00:00,2024-05-27 0:00:00,99,53,Pea,Lentil,Transplanting,Flood,Canal,4,82,19,Rabi,"POLYGON ((78.25239942524266 17.94305158958505, 78.25306589886625 17.94277694386102, 78.25273266205446 17.94170765650881, 78.25220168032135 17.941813852855443, 78.25239942524266 17.94305158958505))",downloads/20240522T050649_20240522T051545_T43QHV_RGB_2023-12-27_2024-05-27.tif
327536,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-04-12 0:00:00,2024-04-23 0:00:00,88,88,Pea,Lentil,Transplanting,Flood,Groundwater,4,91,19,Rabi,"POLYGON ((78.26797267622901 17.955583891174356, 78.26973040886273 17.955712059178904, 78.26962055057315 17.954954036980578, 78.26792140902718 17.954880798120854, 78.26797267622901 17.955583891174356))",downloads/20240422T050649_20240422T051633_T43QHV_RGB_2023-04-12_2024-04-23.tif
804181,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-19 0:00:00,2024-05-15 0:00:00,88,67,Lentil,Pea,Transplanting,Flood,Groundwater,6,99,15,Rabi,"POLYGON ((78.2779500457094 17.95999297211246, 78.27873919442314 17.959721988331427, 78.27856891407424 17.958945656418184, 78.27777793438901 17.959191006598303, 78.2779500457094 17.95999297211246))",downloads/20240512T050649_20240512T051901_T43QHV_RGB_2023-11-19_2024-05-15.tif
353659,Healthy,Paddy,Telangana,Medak,Kulcharam,2023-11-24 0:00:00,2024-05-25 0:00:00,87,60,Pea,Lentil,Transplanting,Flood,Groundwater,6,93,16,Rabi,"POLYGON ((78.27698258943045 17.9629507170597, 78.27889412366964 17.962870154313983, 78.2788208848099 17.96192537302334, 78.27857919657276 17.961002563390615, 78.27677752062314 17.961236927741776, 78.27698258943045 17.9629507170597))",downloads/20240522T050649_20240522T051545_T43QHV_RGB_2023-11-24_2024-05-25.tif
