polygonvalue1,polygonvalue2,polygonvalue3,polygonvalue4,polygonvalue5,polygonvalue6,polygonvalue7,polygonvalue8,polygonvalue9,polygonvalue10,FarmID,Crop,State,District,Sub-District,SDate,HDate,CropCoveredArea,CHeight,CNext,CLast,CTransp,IrriType,IrriSource,IrriCount,WaterCov,ExpYield,Season
78.18143246076087,17.978884603571068,78.18149324901445,17.97898640558611,78.18175397935514,17.978865561467536,78.18166316316905,17.978728604799823,78.18143246076087,17.978884603571068,1326576,Paddy,Telangana,Medak,Kulcharam,25-11-2023,14-04-2024,97.0,54.0,Pea,Lentil,Transplanting,Flood,Groundwater,4.0,87.0,17.0,Rabi
78.17545177547453,17.981074445477304,78.17578208273196,17.98104441754481,78.1757432661363,17.980859123229667,78.17544591636575,17.9808781653332,78.17545324025173,17.98094481269556,1326577,Paddy,Telangana,Medak,Kulcharam,13-11-2023,26-04-2024,82.0,58.0,Pea,Lentil,Transplanting,Flood,Canal,5.0,94.0,15.0,Rabi
78.16914224770792,17.976212849967755,78.16930117603356,17.97618868114404,78.16928066915284,17.975967499787625,78.16910782544385,17.975972626507808,78.16914224770792,17.976212849967755,1326578,Paddy,Telangana,Medak,Kulcharam,19-12-2023,28-04-2024,92.0,91.0,Pea,Lentil,Transplanting,Flood,Canal,3.0,99.0,20.0,Rabi
78.16889103841902,17.974608186550842,78.16915762786849,17.974714382897467,78.16923306389401,17.974564243234997,78.16894743234103,17.974463905997155,78.16889103841902,17.974608186550842,1331836,Paddy,Telangana,Medak,Kulcharam,11-02-2023,04-11-2024,91.0,52.0,Pea,Lentil,Transplanting,Flood,Canal,5.0,92.0,16.0,Rabi
78.17264452998072,17.969251496349454,78.1727609797677,17.96925515829244,78.1727587826019,17.969126257899298,78.17272728989222,17.969053751428156,78.1726188963798,17.96908011741766,1326579,Paddy,Telangana,Medak,Kulcharam,12-12-2023,19-05-2024,94.0,55.0,Pea,Lentil,Transplanting,Flood,Canal,5.0,97.0,20.0,Rabi
78.17299094978729,17.96296394024075,78.17324655340778,17.962941236194233,78.17325241251656,17.962621914765766,78.17320846920072,17.962567718009556,78.17317917365682,17.962588957278882,1326580,Paddy,Telangana,Medak,Kulcharam,13-12-2023,18-05-2024,97.0,51.0,Pea,Lentil,Transplanting,Flood,Groundwater,5.0,85.0,15.0,Rabi
78.17654376687328,17.95927123693265,78.17665875188308,17.959256589160702,78.17664337172253,17.959052985130626,78.17652911910133,17.959069830068366,78.1765415697075,17.959193603741326,1326581,Paddy,Telangana,Medak,Kulcharam,20-11-2023,30-05-2024,84.0,68.0,Lentil,Pea,Transplanting,Flood,Canal,3.0,90.0,15.0,Rabi
78.17882149541123,17.957916318027465,78.17902363466412,17.95795952895471,78.17904047960185,17.957808656903648,78.17884932617794,17.95777057269658,78.17882149541123,17.957916318027465,988392,Paddy,Telangana,Medak,Kulcharam,14-12-2023,04-04-2024,86.0,72.0,Pea,Lentil,Transplanting,Flood,Canal,3.0,91.0,15.0,Rabi
78.18103587233549,17.951640113942023,78.18126913810376,17.951698338835516,78.18129074356739,17.95157602993975,78.18106736504517,17.95152549512653,78.18103587233549,17.951640113942023,718074,Paddy,Telangana,Medak,Kulcharam,12-10-2023,05-10-2024,90.0,78.0,Pea,Lentil,Transplanting,Flood,Canal,3.0,86.0,18.0,Rabi
78.18079088834969,17.946333592359554,78.18097471788764,17.94631455025602,78.18097618266484,17.94619370613745,78.18078649401811,17.946220804515555,78.18079088834969,17.946333592359554,214818,Paddy,Telangana,Medak,Kulcharam,12-10-2023,22-04-2024,90.0,53.0,Lentil,Pea,Transplanting,Flood,Groundwater,5.0,90.0,19.0,Rabi
78.17880977719372,17.94164703772477,78.17894783244434,17.94168695290333,78.17901777555538,17.94149506709081,78.1788965652425,17.94144599705478,78.17880977719372,17.94164703772477,235657,Paddy,Telangana,Medak,Kulcharam,12-02-2023,29-05-2024,94.0,56.0,Lentil,Pea,Transplanting,Flood,Canal,4.0,91.0,17.0,Rabi
78.17585715256335,17.933051358951367,78.17604610882148,17.932929782444198,78.1759289266459,17.93267784076669,78.17572385783862,17.932805276382638,78.17585715256335,17.933051358951367,861614,Paddy,Telangana,Medak,Kulcharam,12-06-2023,15-04-2024,89.0,59.0,Lentil,Pea,Transplanting,Flood,Canal,3.0,94.0,18.0,Rabi
78.14917989790295,17.911979806615513,78.14922530599598,17.91207867907616,78.1493930229848,17.912005440216422,78.14932857278822,17.911899243869797,78.14917989790295,17.911979806615513,470755,Paddy,Telangana,Medak,Kowdipally,28-12-2023,14-05-2024,94.0,72.0,Pea,Lentil,Transplanting,Flood,Groundwater,6.0,85.0,18.0,Rabi
78.11398349907756,17.8912026744958,78.1141175261909,17.89118070283788,78.11410873752772,17.89099907046572,78.1139725132486,17.891017380180656,78.11398349907756,17.8912026744958,618347,Paddy,Telangana,Medak,Chilipched,11-09-2023,13-05-2024,92.0,51.0,Lentil,Pea,Transplanting,Flood,Groundwater,5.0,85.0,19.0,Rabi
78.11867005371231,17.854679187531957,78.1190091496329,17.854618399278372,78.11899523424955,17.85445580900975,78.1188663338564,17.854496822771203,78.11865101160878,17.854530512646683,888798,Paddy,Telangana,Medak,Chilipched,24-12-2023,04-01-2024,93.0,75.0,Lentil,Pea,Transplanting,Flood,Canal,6.0,86.0,18.0,Rabi
78.15072816739787,17.8138719596619,78.15110974185711,17.813847058449586,78.15110461513693,17.81372767910821,78.15072084351189,17.81378407303021,78.15072816739787,17.8138719596619,410620,Paddy,Telangana,Medak,Chilipched,20-12-2023,28-04-2024,96.0,62.0,Lentil,Pea,Transplanting,Flood,Groundwater,4.0,91.0,15.0,Rabi
78.15484785325823,17.811794905599676,78.15499140142332,17.81174583556365,78.15497382409698,17.811385500373728,78.15481929010294,17.811420655026403,78.15478779739324,17.811594231123987,480934,Paddy,Telangana,Medak,Chilipched,18-12-2023,20-04-2024,92.0,64.0,Lentil,Pea,Transplanting,Flood,Canal,6.0,92.0,15.0,Rabi
78.16486692927072,17.819599970882184,78.16502073087618,17.819616083431324,78.16502512520776,17.819425662396,78.16489402764883,17.81941980328722,78.16486692927072,17.819599970882184,605358,Paddy,Telangana,Medak,Narsapur,11-12-2023,19-04-2024,89.0,99.0,Pea,Lentil,Transplanting,Flood,Canal,6.0,82.0,20.0,Rabi
78.16767344237596,17.82043342910602,78.16778623021995,17.820474442867475,78.16787411685164,17.820300134381295,78.16775620228746,17.820266444505815,78.16767344237596,17.82043342910602,408127,Paddy,Telangana,Medak,Chilipched,11-01-2023,20-05-2024,80.0,94.0,Lentil,Pea,Transplanting,Flood,Canal,5.0,95.0,16.0,Rabi
78.17110834489776,17.821980966212333,78.17125335784004,17.82197437471496,78.17124530156548,17.821811052057736,78.17109296473721,17.82181251683493,78.17110834489776,17.821980966212333,1326594,Paddy,Telangana,Medak,Chilipched,23-12-2023,24-05-2024,80.0,50.0,Pea,Lentil,Transplanting,Flood,Canal,4.0,80.0,18.0,Rabi
78.17111566878373,17.82885077125597,78.17126947038918,17.828874940079682,78.17127386472076,17.82875995506989,78.1712636112804,17.82870575831368,78.17113764044164,17.82869477248472,479848,Paddy,Telangana,Medak,Chilipched,11-11-2023,04-06-2024,94.0,61.0,Lentil,Pea,Transplanting,Flood,Canal,5.0,82.0,16.0,Rabi
78.16924368352878,17.837709743730155,78.1694648648852,17.837646758310775,78.16944655517027,17.8374988158141,78.16942165395795,17.837441689503503,78.169350612264,17.837452675332464,703710,Paddy,Telangana,Medak,Kowdipally,11-11-2023,05-07-2024,95.0,84.0,Lentil,Pea,Transplanting,Flood,Groundwater,3.0,94.0,17.0,Rabi
78.18151522067255,17.848868782594472,78.18163716337402,17.848845346159354,78.1816140931332,17.848760755276356,78.1815320656103,17.848777966408395,78.18148848848875,17.84879298037464,909508,Paddy,Telangana,Medak,Kowdipally,11-01-2023,19-05-2024,91.0,60.0,Pea,Lentil,Transplanting,Flood,Canal,4.0,86.0,15.0,Rabi
78.1812980674535,17.857053225170436,78.18151375589544,17.856993169305447,78.18144710853308,17.8568082411846,78.18134896846102,17.85685035352895,78.18123288486834,17.856888803930314,1326598,Paddy,Telangana,Medak,Kowdipally,12-10-2023,23-04-2024,85.0,87.0,Lentil,Pea,Transplanting,Flood,Canal,5.0,96.0,20.0,Rabi
78.17650787983222,17.865263301347312,78.17669427273026,17.86522375236305,78.17666278002058,17.86507544367208,78.17646723226507,17.865104739215976,78.17650787983222,17.865263301347312,519505,Paddy,Telangana,Medak,Kowdipally,12-04-2023,28-05-2024,85.0,84.0,Lentil,Pea,Transplanting,Flood,Groundwater,6.0,81.0,17.0,Rabi
78.2062560398815,17.881412469920026,78.20651310827918,17.881385371541924,78.20649333378705,17.881102669543328,78.20627508198503,17.881120246869664,78.2062553074929,17.881280639972495,427410,Paddy,Telangana,Medak,Kowdipally,11-02-2023,30-05-2024,91.0,77.0,Pea,Lentil,Transplanting,Flood,Canal,5.0,89.0,20.0,Rabi
78.22280655740562,17.892734831441565,78.22296182378827,17.89273666241306,78.22299734463525,17.892641818089697,78.2228127827087,17.8926399871182,78.22280655740562,17.892734831441565,441472,Paddy,Telangana,Medak,Kowdipally,12-02-2023,16-04-2024,94.0,65.0,Pea,Lentil,Transplanting,Flood,Groundwater,4.0,97.0,19.0,Rabi
78.22721260720756,17.897330569890276,78.2273371132691,17.89735437251969,78.22743012662097,17.897321415032806,78.22737409889329,17.897132824968974,78.2271708610575,17.897166881038753,649824,Paddy,Telangana,Medak,Kowdipally,21-11-2023,24-04-2024,83.0,68.0,Lentil,Pea,Transplanting,Flood,Canal,4.0,100.0,15.0,Rabi
78.22956430699386,17.90061350177814,78.22980306567662,17.900578347125464,78.22979354462485,17.90043846090336,78.22954013817015,17.900440658069154,78.22956430699386,17.90061350177814,396007,Paddy,Telangana,Medak,Kowdipally,20-11-2023,20-05-2024,83.0,86.0,Pea,Lentil,Transplanting,Flood,Canal,6.0,98.0,17.0,Rabi
78.23149268617084,17.904904566570323,78.23168457198337,17.90481228560705,78.23159815012887,17.904509076727724,78.23136671533209,17.904569132592712,78.23149268617084,17.904904566570323,144754,Paddy,Telangana,Medak,Kowdipally,27-12-2023,22-05-2024,81.0,91.0,Pea,Lentil,Transplanting,Flood,Groundwater,3.0,85.0,19.0,Rabi
78.23701196664085,17.906424272909934,78.23703174113298,17.906482131609128,78.23708813505499,17.906558300023256,78.23714672614277,17.90664472187775,78.23718114840685,17.906703312965544,546854,Paddy,Telangana,Medak,Kowdipally,12-09-2023,30-04-2024,91.0,70.0,Pea,Lentil,Transplanting,Flood,Canal,3.0,91.0,17.0,Rabi
78.24961710679078,17.94041589249257,78.24980093632873,17.940360963347764,78.24974161285233,17.94020203502213,78.24965299383206,17.940238654452,78.24954460031964,17.940270147161687,39538,Paddy,Telangana,Medak,Kulcharam,12-03-2023,26-05-2024,86.0,57.0,Lentil,Pea,Transplanting,Flood,Groundwater,3.0,85.0,20.0,Rabi
78.25256057656375,17.94250246760657,78.25269387128847,17.942447538461764,78.25262722392611,17.942233680991322,78.25252102757949,17.94225492026065,78.25256057656375,17.94250246760657,223527,Paddy,Telangana,Medak,Kulcharam,27-12-2023,27-05-2024,99.0,53.0,Pea,Lentil,Transplanting,Flood,Canal,4.0,82.0,19.0,Rabi
78.26865188643733,17.955344901662002,78.26900343296407,17.95537053526291,78.26898146130615,17.955218930823246,78.26864163299696,17.9552042830513,78.26865188643733,17.955344901662002,327536,Paddy,Telangana,Medak,Kulcharam,12-04-2023,23-04-2024,88.0,88.0,Pea,Lentil,Transplanting,Flood,Groundwater,4.0,91.0,19.0,Rabi
78.27819564225011,17.959569685286112,78.27835347199286,17.959515488529906,78.27831941592308,17.959360222147257,78.27816121998603,17.95940929218328,78.27819564225011,17.959569685286112,804181,Paddy,Telangana,Medak,Kulcharam,19-11-2023,15-05-2024,88.0,67.0,Lentil,Pea,Transplanting,Flood,Groundwater,6.0,99.0,15.0,Rabi
